Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,80,1675,1292,1973,178.08,12.500%,.21652,6.32,0.05,29882.2
TOTAL,80,1675,1292,1973,178.08,12.500%,.21652,6.32,0.05,29882.2
